,ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost
2021-12-05 01:50:36.504518,2021-11-28 20:00:49-05:00,55,1,57190823,917973188825333,928506942951329,923225042591184,57190823,1147466486031666,1160633678689161,1154031303238980,17111796978592,10918492093219,6193304885373,40,5245645986,4043712206,47754337
2021-12-05 01:50:36.504518,2021-11-29 16:28:46-05:00,56,0,233800,213654439470994844,188737106528553534,200809662871923439,233800,224337161423179142,198173961836107500,210850146015519610,23527196120589470,5030593276466470,18496602844123000,285,40645227339,38002296482,1338985225
2021-12-05 01:50:36.504518,2021-11-30 13:22:26-05:00,57,1,57190823,1152793173607974,1155270762653175,1154031303238980,57190823,1729189760411961,1732906143979762,1731046954858470,5893307983215,5026690674150,866617309065,43,7368385675,6222045766,1258198
2021-12-05 01:50:36.504518,2021-11-30 13:23:05-05:00,58,2,4310789,5395310227550682,5745033031173854,5567426287855888,4310789,5934841249766219,6319536333716736,6124168916641476,204466643278831,25551246869783,178915396409048,29,4517902756,3356545636,232623107
2021-12-05 01:50:36.504518,2021-11-30 13:25:38-05:00,59,2,4310789,5934573300465111,6319821665462993,6124168916641476,4310789,7418216625581388,7899777081828741,7655211145801845,204734592579939,25551246869783,179183345710156,29,4525374137,2893231440,470785577
2021-12-05 01:50:36.504518,2021-11-30 18:26:39-05:00,60,1,57190823,1730357891354658,1731736292761303,1731046954858470,57190823,1816875785749355,1818323107226194,1817599302601393,4541762640945,4843276274577,-301513633632,41,7656433998,6498816312,0
2021-12-05 01:50:36.504518,2021-11-30 18:28:36-05:00,61,1,57190823,1816693059179131,1818505998096247,1817599302601393,57190823,2725039588587027,2727758996962519,2726398953902089,4712929314991,4831716378399,-118787063408,41,7657520047,6499902361,0
2021-12-05 01:50:36.504518,2021-11-30 18:33:07-05:00,62,2,4310789,7380789710224242,7939835706961003,7655211145801845,4310789,7749829194997375,8336827491515069,8037971703091937,244054807578138,27444546510836,216610261067302,33,4672393362,2815529006,132664532
2021-12-05 01:50:36.504518,2021-11-30 19:08:21-05:00,63,0,233800,222895503503369154,199455724211565097,210850146015519610,233800,234040278656248061,209428510402197779,221392653316295590,26674601664008704,6736340900075716,19938260763932988,279,42717025633,37739161335,1502897027
2021-12-05 01:50:36.504518,2021-12-01 08:20:21-05:00,64,2,4310789,7718765677139422,8370378348323020,8037971703091937,4320000,7718765677139422,8370378348323020,8037971703091937,278418246219489,30744467294234,247673778925255,34,4984538851,2587333135,239699779
