,ts,record_id,user_authority,user,direction,collateral_before,cumulative_deposits_before,amount
2021-12-05 01:50:36.504518,2021-12-02 16:26:18-05:00,3124,CJMSFVeyWUY2y1RjzgKn4kPqqxD8FLWxP29tvuUXBYUr,E8jc7deDbEM82CcXk8enQeFQR1BtAtE78aFi4zKjiv2i,DepositDirection.WITHDRAW(),22851120,24000000,22350000
2021-12-05 01:50:36.504518,2021-12-02 16:26:39-05:00,3125,93AGRvU9jLpCXC9sLZbbzUWE5CAxqyrmDC5uErSVbBfP,F6pPSqZa7UFyrwWQNtkriEjZoCaqogqpKsUg4xPVxAsU,DepositDirection.WITHDRAW(),585443868,597000000,585440000
2021-12-05 01:50:36.504518,2021-12-02 16:27:18-05:00,3126,9K1a3sUL8KsoRHraciTSxEEjYar18gnivpn6MMfA44W6,5Sgxxzb9VB3V4816HPWwFRtcWr2rB9cnmQpocMbup6JF,DepositDirection.DEPOSIT(),0,0,23000000
2021-12-05 01:50:36.504518,2021-12-02 16:27:35-05:00,3127,CgjNsbjmyFjHFVuhAcxMndQPmAxpTwqPLzBHtKSXsAH4,BNqwU9ibX7F3SECDGrtEU2KRqnaDSLpLRM2tsmJX3aKJ,DepositDirection.WITHDRAW(),551757654,586000000,551750000
2021-12-05 01:50:36.504518,2021-12-02 16:31:06-05:00,3128,D77YypDtT1zvgi2E7R7UUTdjLicwv7CuCFxtV3cU6YM4,GwyD1iDztj8BrRbyv4wTGiMtMEXF3a4jyKsiqmLPZ1Wa,DepositDirection.DEPOSIT(),600194183,602000000,1000000000
2021-12-05 01:50:36.504518,2021-12-02 16:31:13-05:00,3129,9K1a3sUL8KsoRHraciTSxEEjYar18gnivpn6MMfA44W6,5Sgxxzb9VB3V4816HPWwFRtcWr2rB9cnmQpocMbup6JF,DepositDirection.WITHDRAW(),21788346,23000000,21280000
2021-12-05 01:50:36.504518,2021-12-02 16:32:21-05:00,3130,H31T1RyvaTUQUKnopyp89LkFg2SRzCkzTDQeJp4JEFd7,spACzAk131drj8v1kV4zzogq6UCJUobNhSmNiVCbUrK,DepositDirection.DEPOSIT(),0,0,23000000
2021-12-05 01:50:36.504518,2021-12-02 16:34:45-05:00,3131,H31T1RyvaTUQUKnopyp89LkFg2SRzCkzTDQeJp4JEFd7,spACzAk131drj8v1kV4zzogq6UCJUobNhSmNiVCbUrK,DepositDirection.WITHDRAW(),21765377,23000000,21260000
2021-12-05 01:50:36.504518,2021-12-02 16:35:45-05:00,3132,4VhJfRaZ5tVYpmVG56ynto1iqF56zYLbNZCCM1JHqv3f,2ndHB67h1ShQ6XbVeHJkH3bm8eZZ4V5UWjNDT9cKyFez,DepositDirection.DEPOSIT(),0,0,22000000
2021-12-05 01:50:36.504518,2021-12-02 16:39:41-05:00,3133,4VhJfRaZ5tVYpmVG56ynto1iqF56zYLbNZCCM1JHqv3f,2ndHB67h1ShQ6XbVeHJkH3bm8eZZ4V5UWjNDT9cKyFez,DepositDirection.WITHDRAW(),21124828,22000000,21000000
2021-12-05 01:50:36.504518,2021-12-02 16:44:55-05:00,3134,3AxdbpSDe4vviFpmwsNyCni8UYB51snHNXw2STgM6Ckh,UADwKDG38pJeCWYT7y7kC9Db7RPPzkroRRfm2FN5n7W,DepositDirection.DEPOSIT(),0,0,16000000
2021-12-05 01:50:36.504518,2021-12-02 16:45:35-05:00,3135,skynetDj29GH6o6bAqoixCpDuYtWqi1rm8ZNx1hB3vq,MHVw54qHUWfJGNyjahVFGFNWWg54PeUospTCRAYFfUj,DepositDirection.WITHDRAW(),4959655120,5373380000,4959650000
2021-12-05 01:50:36.504518,2021-12-02 16:47:54-05:00,3136,EiGGbs7qNsGUWGTSsxLehA2wR56FJamnKMtkD32QbRGQ,9LQ9VC6iEt2dftvnmY5EWz6T9TPKAiUFWf44gZh7CkXp,DepositDirection.WITHDRAW(),2195258776,2200000000,100000000
2021-12-05 01:50:36.504518,2021-12-02 16:48:19-05:00,3137,AiP6Qy3zAqKCVpsoQbNxLJKpEGrWYA2BBWRf3ECcLmSZ,3awK8LVFcHCeSZm25AhuhLzpHYjaaVgDhQba1FGrYCKr,DepositDirection.WITHDRAW(),10366801,15000000,5000000
2021-12-05 01:50:36.504518,2021-12-02 16:49:07-05:00,3138,DkvR2xUPMyXWGGkUSmDSfhp7RtvMkfbT1ThKCS3TwrXd,F7jYV6TtT1LZ5XCNn1zkbUfNMo4gGcQUczAQy1jLHpaW,DepositDirection.DEPOSIT(),0,0,329000000
2021-12-05 01:50:36.504518,2021-12-02 16:50:52-05:00,3139,93AGRvU9jLpCXC9sLZbbzUWE5CAxqyrmDC5uErSVbBfP,F6pPSqZa7UFyrwWQNtkriEjZoCaqogqpKsUg4xPVxAsU,DepositDirection.DEPOSIT(),3868,11560000,579000000
2021-12-05 01:50:36.504518,2021-12-02 16:51:21-05:00,3140,3QkmA7uM1exEoDQDKhspq25kfGiHD5cjwkTEzKuVwpjZ,6yUyAgFSN8BmmBqgZR45KhPmt7uQmtKexXewsteoJ3hF,DepositDirection.DEPOSIT(),0,0,90000000
2021-12-05 01:50:36.504518,2021-12-02 16:58:07-05:00,3141,55a9UhXcYToFVcnnmzrpqtiGiGgxhKKtWzGpFJ1C2DUm,6iA8cMr1axTw8FVwYavGpTczwhpesLZrm4EnEYqm9b81,DepositDirection.DEPOSIT(),0,0,75000000
2021-12-05 01:50:36.504518,2021-12-02 16:59:20-05:00,3142,75mfrXWqGKL5JBaE8SJmx2YcHz95LpukQRnKDB8z3Jjb,8SdZD72Sk4a3iU5nvm4ZYJcuWyxUTDwTAdotY15sLHQE,DepositDirection.DEPOSIT(),0,0,2000000
2021-12-05 01:50:36.504518,2021-12-02 17:02:21-05:00,3143,5FzqLqMJ1JESDqp1FdV79LmGrCk64VPBR1xobPvSkoBr,GUnaBE1kqe1yKtiaEbCax57Sthz1YipGYWK9BwTvNRxU,DepositDirection.DEPOSIT(),0,0,1488000000
2021-12-05 01:50:36.504518,2021-12-02 17:06:06-05:00,3144,93AGRvU9jLpCXC9sLZbbzUWE5CAxqyrmDC5uErSVbBfP,F6pPSqZa7UFyrwWQNtkriEjZoCaqogqpKsUg4xPVxAsU,DepositDirection.WITHDRAW(),564476913,590560000,564470000
2021-12-05 01:50:36.504518,2021-12-02 17:09:44-05:00,3145,H64fo2Bd6RmKJ3t6VJ2bVtvi8kKmPUJ5HkkFQa1YtH4J,ARHbER7w6HjVudPNKpyvXfHxBzAELFwzCcAXyG3Pw98P,DepositDirection.DEPOSIT(),0,0,38000000
2021-12-05 01:50:36.504518,2021-12-02 17:14:26-05:00,3146,74yLzit4PokMrUNcippaMTYjjkKWTT2yAq43Nu1zQUfE,495os5DxE23BmZVtAWgK6e6PcBgidDzztJxGK3rCEHma,DepositDirection.DEPOSIT(),0,0,31000000
2021-12-05 01:50:36.504518,2021-12-02 17:19:18-05:00,3147,4PZZxNrWLhNCuT5VJ1DQe3XxQVVwMPrjfUpdeAY8qS7U,A7CvKre7y5VbUN1HneNHmuBv7jWtayV78oozAqaVbQrv,DepositDirection.WITHDRAW(),98914090,99000000,40000000
2021-12-05 01:50:36.504518,2021-12-02 17:21:51-05:00,3148,Bc98aJEJpbDURRYAXMxZ7kkuD5f8pFPGL1pi27GmTkpq,J1FoME9p5RWEY67Fcz4Nm1oVMeKWHXFjUY8NDwLhJQpi,DepositDirection.DEPOSIT(),0,0,48000000
2021-12-05 01:50:36.504518,2021-12-02 17:23:35-05:00,3149,3SdrrWM4Ucstyw4SKYa9EienihFnxj236RsQQEsfwfE9,F4Fe74QMDoxqdihqBWC3DQrR4VBvmEWkkTnQrbcbVxoV,DepositDirection.DEPOSIT(),0,0,9000000
2021-12-05 01:50:36.504518,2021-12-02 17:26:46-05:00,3150,399591e8XgY52yCMorCQ2WL6dQZTC485ZooHtmGuirhZ,JCiXAooFmKmEPQ2S7C8iSk6CLcTyrPEe1SsPSLyUGySe,DepositDirection.DEPOSIT(),0,0,7000000
