,ts,record_id,market_index,funding_rate,cumulative_funding_rate_long,cumulative_funding_rate_short,oracle_price_twap,mark_price_twap
2021-12-05 01:50:36.504518,2021-11-14 18:00:38-05:00,478,0,-478705449583,52238165700054,-491285204151014,2368624380000,2367475486921
2021-12-05 01:50:36.504518,2021-11-14 19:00:15-05:00,479,0,-293386071666,51944779628388,-491578590222680,2371415860000,2370711733428
2021-12-05 01:50:36.504518,2021-11-14 20:00:15-05:00,480,0,-496252399166,51448527229222,-492074842621846,2391169180000,2389978174242
2021-12-05 01:50:36.504518,2021-11-14 21:00:15-05:00,481,0,-680977448750,50823748601086,-492755820070596,2398824510000,2397190164123
2021-12-05 01:50:36.504518,2021-11-14 22:01:06-05:00,482,0,-1119434973333,50673024395818,-493875255043929,2406977910000,2404291266064
2021-12-05 01:50:36.504518,2021-11-14 23:00:01-05:00,483,0,-1133413852500,50494461592596,-495008668896429,2419667570000,2416947376754
2021-12-05 01:50:36.504518,2021-11-15 00:00:03-05:00,484,0,-959608230833,50165282448594,-495968277127262,2427045270000,2424742210246
2021-12-05 01:50:36.504518,2021-11-15 01:00:03-05:00,485,0,-970101865000,50091041097622,-496938378992262,2431018270000,2428690025524
2021-12-05 01:50:36.504518,2021-11-15 02:00:15-05:00,486,0,-1169868699583,49981288802885,-498108247691845,2429504350000,2426696665121
2021-12-05 01:50:36.504518,2021-11-15 03:00:15-05:00,487,0,-1540731145416,49833604500434,-499648978837261,2421219660000,2417521905251
2021-12-05 01:50:36.504518,2021-11-15 04:00:11-05:00,488,0,-1536480328333,49634136554781,-501185459165594,2416311820000,2412624267212
2021-12-05 01:50:36.504518,2021-11-15 05:00:15-05:00,489,0,-930157229166,49343464256934,-502115616394760,2423449080000,2421216702650
2021-12-05 01:50:36.504518,2021-11-15 06:00:13-05:00,490,0,-989993701250,49071400688593,-503105610096010,2422447550000,2420071565117
2021-12-05 01:50:36.504518,2021-11-15 07:00:15-05:00,491,0,-1159680265000,48072731333972,-504265290361010,2425086530000,2422303297364
2021-12-05 01:50:36.504518,2021-11-15 08:00:16-05:00,492,0,-1081690065416,47448241355834,-505346980426426,2437251520000,2434655463843
2021-12-05 01:50:36.504518,2021-11-15 09:00:09-05:00,493,0,-1087999355833,47035355269914,-506434979782259,2440949010000,2438337811546
2021-12-05 01:50:36.504518,2021-11-15 10:00:15-05:00,494,0,-2254642311250,46400376776818,-508689622093509,2431483550000,2426072408453
2021-12-05 01:50:36.504518,2021-11-15 11:00:19-05:00,495,0,-3331441031666,44955323796158,-512021063125175,2416408250000,2408412791524
2021-12-05 01:50:36.504518,2021-11-15 12:00:13-05:00,496,0,-2978575010833,43492530997980,-514999638136008,2409858030000,2402709449974
2021-12-05 01:50:36.504518,2021-11-15 13:00:08-05:00,497,0,-1611983292500,43090608580727,-516611621428508,2413695500000,2409826740098
2021-12-05 01:50:36.504518,2021-11-15 14:00:18-05:00,498,0,-2726457457500,42435192719357,-519338078886008,2399773380000,2393229882102
2021-12-05 01:50:36.504518,2021-11-15 15:00:17-05:00,499,0,-1861081201250,41742043709707,-521199160087258,2395563860000,2391097265117
2021-12-05 01:50:36.504518,2021-11-15 16:00:04-05:00,500,0,-1925718345416,40827384720626,-523124878432674,2389335880000,2384714155971
2021-12-05 01:50:36.504518,2021-11-15 17:00:07-05:00,501,0,-2395633495416,40184973937704,-525520511928090,2382239210000,2376489689611
2021-12-05 01:50:36.504518,2021-11-15 18:00:17-05:00,502,0,-1836569457083,39948451688763,-527357081385173,2372813130000,2368405363303
2021-12-05 01:50:36.504518,2021-11-15 19:00:16-05:00,503,0,-1254767956250,39470982970420,-528611849341423,2376831840000,2373820396905
2021-12-05 01:50:36.504518,2021-11-15 20:00:05-05:00,504,0,-3836140923750,38829376578566,-532447990265173,2355956760000,2346750021783
2021-12-05 01:50:36.504518,2021-11-15 21:00:18-05:00,505,0,-6880820579583,38101399805466,-539328810844756,2332972940000,2316458970609
2021-12-05 01:50:36.504518,2021-11-15 22:00:11-05:00,506,0,-4088095758333,37409380997464,-543416906603089,2319560930000,2309749500180
2021-12-05 01:50:36.504518,2021-11-15 23:00:04-05:00,507,0,-6391805423333,36501935893316,-549808712026422,2298567550000,2283227216984
2021-12-05 01:50:36.504518,2021-11-16 00:00:15-05:00,508,0,-5017480643750,35674424737152,-554826192670172,2291988370000,2279946416455
2021-12-05 01:50:36.504518,2021-11-16 01:00:18-05:00,509,0,-2790146314166,35295947961558,-557616338984338,2289302010000,2282605658846
2021-12-05 01:50:36.504518,2021-11-16 02:00:18-05:00,510,0,-2457695014583,34900832664256,-560074033998921,2274927330000,2269028861965
2021-12-05 01:50:36.504518,2021-11-16 03:00:31-05:00,511,0,-2463263832083,34469020079131,-562537297831004,2267649550000,2261737716803
2021-12-05 01:50:36.504518,2021-11-16 04:00:18-05:00,512,0,-2270251203750,34118566669514,-564807549034754,2268004150000,2262555547111
2021-12-05 01:50:36.504518,2021-11-16 05:00:20-05:00,513,0,-2562552965000,33325001060596,-567370101999754,2262084080000,2255933952884
2021-12-05 01:50:36.504518,2021-11-16 06:00:18-05:00,514,0,-9704854838750,30050632425497,-577074956838504,2243118840000,2219827188387
2021-12-05 01:50:36.504518,2021-11-16 07:00:18-05:00,515,0,-4605497748750,28179525004616,-581680454587254,2245340250000,2234287055403
2021-12-05 01:50:36.504518,2021-11-16 08:00:11-05:00,516,0,-2507705142083,27679135969347,-584188159729337,2241385850000,2235367357659
2021-12-05 01:50:36.504518,2021-11-16 09:00:05-05:00,517,0,-2406354072500,25644562419220,-586594513801837,2229495650000,2223720400226
2021-12-05 01:50:36.504518,2021-11-16 10:00:21-05:00,518,0,-770677263333,24873885155887,-587365191065170,2244949460000,2243099834568
2021-12-05 01:50:36.504518,2021-11-16 11:00:20-05:00,519,0,-885404205000,23988480950887,-588250595270170,2253881690000,2251756719908
2021-12-05 01:50:36.504518,2021-11-16 12:00:11-05:00,520,0,-1480069296250,22508411654637,-589730664566420,2248820200000,2245268033689
2021-12-05 01:50:36.504518,2021-11-16 13:00:20-05:00,521,0,-1342431097500,21165980557137,-591073095663920,2250281470000,2247059635366
2021-12-05 01:50:36.504518,2021-11-16 14:00:19-05:00,522,0,-1785152409166,20061524116779,-592858248073086,2248647100000,2244362734218
2021-12-05 01:50:36.504518,2021-11-16 15:00:00-05:00,523,0,-1941916197916,18970140506281,-594800164271002,2250740790000,2246080191125
2021-12-05 01:50:36.504518,2021-11-16 16:00:28-05:00,524,0,-5691157966250,18112491141136,-600491322237252,2233874610000,2220215830881
2021-12-05 01:50:36.504518,2021-11-16 17:00:20-05:00,525,0,-3714641518750,17224486906738,-604205963756002,2231356580000,2222441440355
2021-12-05 01:50:36.504518,2021-11-16 18:00:20-05:00,526,0,-2235272633750,16797090801214,-606441236389752,2238198380000,2232833725679
2021-12-05 01:50:36.504518,2021-11-16 19:00:07-05:00,527,0,-2429500729166,16549547010249,-608870737118918,2222220860000,2216390058250
2021-12-05 01:50:36.504518,2021-11-16 20:00:11-05:00,528,0,-3374213887916,15781256081045,-612244951006834,2207319950000,2199221836669
2021-12-05 01:50:36.504518,2021-11-16 21:00:08-05:00,529,0,-3204386347916,15437599815055,-615449337354750,2196236090000,2188545562765
2021-12-05 01:50:36.504518,2021-11-16 22:00:19-05:00,530,0,-3465715043750,15141168571174,-618915052398500,2181886110000,2173568393895
2021-12-05 01:50:36.504518,2021-11-16 23:00:11-05:00,531,0,-4282261855000,14677007296409,-623197314253500,2164446300000,2154168871548
2021-12-05 01:50:36.504518,2021-11-17 00:00:21-05:00,532,0,-2504358626666,14434462710552,-625701672880166,2144428660000,2138418199296
2021-12-05 01:50:36.504518,2021-11-17 01:00:10-05:00,533,0,-1391263377083,13863220307919,-627092936257249,2140765930000,2137426897895
2021-12-05 01:50:36.504518,2021-11-17 02:00:21-05:00,534,0,697738827916,14560959135835,-626395197429333,2133096700000,2134771273187
2021-12-05 01:50:36.504518,2021-11-17 03:00:05-05:00,535,0,1845932900833,16406892036668,-624549264528500,2135072250000,2139502488962
2021-12-05 01:50:36.504518,2021-11-17 04:00:22-05:00,536,0,1417814219166,17824706255834,-623131450309334,2148431340000,2151834094126
2021-12-05 01:50:36.504518,2021-11-17 05:00:21-05:00,537,0,2356491769583,20181198025417,-620774958539751,2136376440000,2142032020247
2021-12-05 01:50:36.504518,2021-11-17 06:00:21-05:00,538,0,3499595115416,23680793140833,-617275363424335,2134188120000,2142587148277
2021-12-05 01:50:36.504518,2021-11-17 07:00:22-05:00,539,0,-1077884326250,22602908814583,-618353247750585,2167896220000,2165309297617
2021-12-05 01:50:36.504518,2021-11-17 08:00:08-05:00,540,0,-350891178333,22252017636250,-618704138928918,2186581190000,2185739051172
2021-12-05 01:50:36.504518,2021-11-17 09:00:22-05:00,541,0,-917155815416,21334861820834,-619621294744334,2184311880000,2182110706043
2021-12-05 01:50:36.504518,2021-11-17 10:00:12-05:00,542,0,-2044351188333,19290510632501,-621665645932667,2176444980000,2171538537148
2021-12-05 01:50:36.504518,2021-11-17 11:00:23-05:00,543,0,-4538033255416,14752477377085,-626203679188083,2148297500000,2137406220187
2021-12-05 01:50:36.504518,2021-11-17 12:00:07-05:00,544,0,-3147701868750,11604775508335,-629351381056833,2148056690000,2140502205515
2021-12-05 01:50:36.504518,2021-11-17 13:00:23-05:00,545,0,-2160652332083,9444123176252,-631512033388916,2142244450000,2137058884403
2021-12-05 01:50:36.504518,2021-11-17 14:00:17-05:00,546,0,-1789209967500,7654913208752,-633301243356416,2147206200000,2142912096078
2021-12-05 01:50:36.504518,2021-11-17 15:00:19-05:00,547,0,-1662060833750,5992852375002,-634963304190166,2151607610000,2147618663999
2021-12-05 01:50:36.504518,2021-11-17 16:00:18-05:00,548,0,-1443492160000,4549360215002,-636406796350166,2153394110000,2149929728816
2021-12-05 01:50:36.504518,2021-11-17 17:00:33-05:00,549,0,-1551357683750,2998002531252,-637958154033916,2155322560000,2151599301559
2021-12-05 01:50:36.504518,2021-11-17 18:00:25-05:00,550,0,-1470947064166,1527055467086,-639429101098082,2157794760000,2154264487046
2021-12-05 01:50:36.504518,2021-11-17 19:00:07-05:00,551,0,-1459939768750,67115698336,-640889040866832,2166644240000,2163140384555
2021-12-05 01:50:36.504518,2021-11-17 20:00:40-05:00,552,0,-893652371666,-826536673330,-641782693238498,2189177520000,2187032754308
2021-12-05 01:50:36.504518,2021-11-17 21:00:15-05:00,553,0,-907496064583,-1734032737913,-642690189303081,2196782420000,2194604429445
2021-12-05 01:50:36.504518,2021-11-17 22:00:00-05:00,554,0,-1256384893750,-2990417631663,-643946574196831,2198740640000,2195725316255
2021-12-05 01:50:36.504518,2021-11-17 23:00:15-05:00,555,0,-1375027290416,-4365444922079,-645321601487247,2195354370000,2192054304503
2021-12-05 01:50:36.504518,2021-11-18 00:01:09-05:00,556,0,-3005620962083,-7371065884162,-648327222449330,2175638150000,2168424659691
2021-12-05 01:50:36.504518,2021-11-18 01:00:16-05:00,557,0,-2421247339166,-9792313223328,-650748469788496,2152187540000,2146376546386
2021-12-05 01:50:36.504518,2021-11-18 02:00:12-05:00,558,0,-1866558295000,-11658871518328,-652615028083496,2138773870000,2134294130092
2021-12-05 01:50:36.504518,2021-11-18 03:00:16-05:00,559,0,-1674311527500,-13333183045828,-654289339610996,2129704780000,2125686432334
