,ts,record_id,user_authority,user,partial,base_asset_value,base_asset_value_closed,liquidation_fee,fee_to_liquidator,fee_to_insurance_fund,liquidator,total_collateral,collateral,unrealized_pnl,margin_ratio
2021-12-05 01:50:36.504518,1969-12-31 19:00:00-05:00,0,11111111111111111111111111111111,11111111111111111111111111111111,False,0,0,0,0,0,11111111111111111111111111111111,0,0,0,0
2021-12-05 01:50:36.504518,2021-11-02 23:44:44-04:00,1,73Wkg27usHy8knWENTmb9zbikugYh93JvBB2bF855vZ2,J9WaUA7r8ct4ZG8o8ATZjvHUPuCYqY42aTsr9xveW5BX,True,109019053,27254763,170209,85104,85105,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,6808394,20827447,-14019053,624
2021-12-05 01:50:36.504518,2021-11-03 15:16:48-04:00,2,73Wkg27usHy8knWENTmb9zbikugYh93JvBB2bF855vZ2,J9WaUA7r8ct4ZG8o8ATZjvHUPuCYqY42aTsr9xveW5BX,True,83711127,20927781,111875,55937,55938,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,4475031,16936405,-12461374,534
2021-12-05 01:50:36.504518,2021-11-03 16:14:45-04:00,3,DSEgVqfxXp5wxjn3gNZtmb4E6rJeBm3VcbqdwDnsuzSq,6YVCWznUKheSMPuywSRJgCes7wghPGJXgxfrVfnjN4mB,True,886842089,221710522,1365175,682587,682588,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,54607013,149594012,-94986999,615
2021-12-05 01:50:36.504518,2021-11-03 16:47:45-04:00,4,73Wkg27usHy8knWENTmb9zbikugYh93JvBB2bF855vZ2,J9WaUA7r8ct4ZG8o8ATZjvHUPuCYqY42aTsr9xveW5BX,True,63192132,15798033,98701,49350,49351,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,3948050,13703072,-9755022,624
2021-12-05 01:50:36.504518,2021-11-03 17:03:45-04:00,5,3oG1F9Ea32KTbfJcBQRMwn6fftcyARJNnibBZz84UrBi,2rwC8bmYjDxMM58LvLSYr1UpxsnTnqZXoyQa8qsBogst,True,2793365886,698341471,4359465,2179732,2179733,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,174378631,472745517,-298366886,624
2021-12-05 01:50:36.504518,2021-11-03 18:24:21-04:00,6,DSEgVqfxXp5wxjn3gNZtmb4E6rJeBm3VcbqdwDnsuzSq,6YVCWznUKheSMPuywSRJgCes7wghPGJXgxfrVfnjN4mB,True,678174523,169543630,991998,495999,495999,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,39679938,123983399,-84303461,585
2021-12-05 01:50:36.504518,2021-11-03 18:24:21-04:00,7,73Wkg27usHy8knWENTmb9zbikugYh93JvBB2bF855vZ2,J9WaUA7r8ct4ZG8o8ATZjvHUPuCYqY42aTsr9xveW5BX,True,48202614,12050653,75098,37549,37549,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,3003948,11128829,-8124881,623
2021-12-05 01:50:36.504518,2021-11-03 19:01:25-04:00,8,3oG1F9Ea32KTbfJcBQRMwn6fftcyARJNnibBZz84UrBi,2rwC8bmYjDxMM58LvLSYr1UpxsnTnqZXoyQa8qsBogst,True,2130201752,532550438,3333349,1666674,1666675,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,133333982,392486730,-259152748,625
2021-12-05 01:50:36.504518,2021-11-04 16:51:33-04:00,9,73Wkg27usHy8knWENTmb9zbikugYh93JvBB2bF855vZ2,J9WaUA7r8ct4ZG8o8ATZjvHUPuCYqY42aTsr9xveW5BX,True,36758326,9189581,55871,27935,27936,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,2234866,8934976,-6700110,607
2021-12-05 01:50:36.504518,2021-11-04 16:52:33-04:00,10,3oG1F9Ea32KTbfJcBQRMwn6fftcyARJNnibBZz84UrBi,2rwC8bmYjDxMM58LvLSYr1UpxsnTnqZXoyQa8qsBogst,True,1633200505,408300126,2274195,1137097,1137098,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,90967827,321023385,-230055558,556
2021-12-05 01:50:36.504518,2021-11-04 19:22:34-04:00,11,73Wkg27usHy8knWENTmb9zbikugYh93JvBB2bF855vZ2,J9WaUA7r8ct4ZG8o8ATZjvHUPuCYqY42aTsr9xveW5BX,True,27998439,6999609,43513,21756,21757,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,1740533,7195369,-5454836,621
2021-12-05 01:50:36.504518,2021-11-06 04:34:38-04:00,12,3oG1F9Ea32KTbfJcBQRMwn6fftcyARJNnibBZz84UrBi,2rwC8bmYjDxMM58LvLSYr1UpxsnTnqZXoyQa8qsBogst,True,1233563244,308390811,1926349,963174,963175,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,77053993,258339105,-181285112,624
2021-12-05 01:50:36.504518,2021-11-06 13:20:38-04:00,13,73Wkg27usHy8knWENTmb9zbikugYh93JvBB2bF855vZ2,J9WaUA7r8ct4ZG8o8ATZjvHUPuCYqY42aTsr9xveW5BX,True,21304502,5326125,33278,16639,16639,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,1331129,5727961,-4396832,624
2021-12-05 01:50:36.504518,2021-11-06 15:39:37-04:00,14,81GV2H9ipJSZD6YpJGj2XQNfoUroWWnKfwMHGSwvhixd,7cLHoNuNVj8qkn3QmBYLFwja37f1MWEo4e3ZcNSpXTPw,True,6571396827,1642849206,10284072,5142036,5142036,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,411362904,1122722501,-711359597,625
2021-12-05 01:50:36.504518,2021-11-06 17:34:39-04:00,15,81GV2H9ipJSZD6YpJGj2XQNfoUroWWnKfwMHGSwvhixd,7cLHoNuNVj8qkn3QmBYLFwja37f1MWEo4e3ZcNSpXTPw,True,5055468436,1263867109,6840919,3420459,3420460,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,273636788,935544466,-661907678,541
2021-12-05 01:50:36.504518,2021-11-10 16:25:04-05:00,16,6zc2j7WaicYnnYjR6iMVLgJ9sqmvuKzkHNSSmcgbXrHw,5NBipewC9DDqx4p8cQn1UxRLZhDWyaTubUFoEzWdLH5Y,True,641803413,160450853,962996,481498,481498,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,38519854,90906930,-52387076,600
2021-12-05 01:50:36.504518,2021-11-16 05:15:19-05:00,17,6zc2j7WaicYnnYjR6iMVLgJ9sqmvuKzkHNSSmcgbXrHw,5NBipewC9DDqx4p8cQn1UxRLZhDWyaTubUFoEzWdLH5Y,True,470929608,117732402,725163,362581,362582,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,29006556,78738048,-49731492,615
2021-12-05 01:50:36.504518,2021-11-16 22:14:26-05:00,18,82ahWrNx6L73jAvzt4PAv7FuhwSdGqG4KqAZWD2uwEZt,2funPHa9Xi1hcgj7rHc7NHDYQ5HjgZ7UvbnZpet3u7kQ,True,115186277,28796569,169416,84708,84708,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,6776654,27848342,-21071688,588
2021-12-05 01:50:36.504518,2021-11-16 22:17:18-05:00,19,7ckvB1uchDPcA5vkjJvu4DHCkgGq81qbJrd4P2CwPDV8,pVjScFyTQfYJ74uA9JLEsChSrtY8fRi2dCM3jtWC6bp,True,42902924,10725731,66987,33493,33494,72FwbpFGoLEazJEdpqNtPNefsadUrimUqma9wSoy4qiS,2679504,10312820,-7633316,624
